mh_1,mh_2,mh_3,mh_4,mh_5,mh_6,mh_7,mh_8,mh_9,mh_10,mh_11,mh_12,mh_13,mh_14,mh_15,mh_16,mh_17,mh_total
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,98
1,1,3,1,1,3,3,3,3,1,3,3,3,1,3,1,3,85
3,1,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,93
1,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,81
3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,107
3,3,3,3,2,3,3,2,2,3,3,3,3,1,1,3,3,92
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,117
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,114
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,117
3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,101
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,101
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,110
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,1,3,3,3,1,1,3,3,2,3,3,1,2,3,3,3,81
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,98
3,3,3,3,1,2,2,2,3,3,3,3,1,2,2,3,2,83
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,91
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,104
1,1,3,3,3,3,3,1,3,3,3,3,1,3,3,1,3,84
3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,105
3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,110
1,1,3,2,1,3,3,3,3,1,3,3,3,1,3,1,3,82
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,116
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,103
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,111
1,1,3,3,1,3,3,3,3,3,3,2,3,2,3,1,3,78
3,1,3,1,2,3,3,2,3,3,3,3,3,3,2,3,3,88
1,1,3,1,1,3,3,3,3,3,3,3,3,1,3,3,3,77
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,100
3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,94
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,110
1,1,3,1,1,3,3,3,3,3,3,3,3,2,1,1,3,74
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,98
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,94
3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,95
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,114
3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,96
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,116
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
1,1,3,1,3,3,3,3,3,3,3,3,3,3,1,1,3,86
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,99
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,113
3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,95
1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,95
3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,108
3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,116
1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,94
3,3,3,1,1,3,3,3,3,3,3,3,3,2,3,1,3,84
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,94
3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,98
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,104
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,111
1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,87
3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,105
3,1,3,3,3,3,3,3,3,1,3,3,3,1,1,1,3,90
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,109
3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,96
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,99
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,112
3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,98
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
3,3,2,1,1,2,3,1,3,2,1,2,2,3,1,3,1,67
3,3,3,3,3,2,2,1,3,2,1,3,3,1,3,3,1,84
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
1,1,3,1,2,3,3,3,1,2,1,3,3,1,2,2,2,72
3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,106
3,1,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,91
3,3,3,3,1,3,3,3,3,1,3,3,3,1,3,3,3,100
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
3,2,3,1,2,3,3,3,3,1,3,3,3,1,3,3,3,89
2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,83
3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,101
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,104
3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,99
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,108
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,88
3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,96
1,3,3,3,1,3,3,3,3,1,3,3,3,2,3,3,3,83
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,92
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,105
1,1,3,1,1,3,3,3,3,3,3,3,3,3,2,3,3,84
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,101
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
1,3,3,1,2,3,3,1,3,3,1,3,3,2,3,3,3,77
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,105
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,104
2,1,2,1,1,3,2,2,1,2,2,2,3,1,1,2,3,65
3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,93
1,1,3,1,1,2,3,3,3,3,3,3,3,2,1,3,3,74
3,1,2,3,1,3,3,3,3,1,3,3,3,1,3,3,3,82
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,117
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,111
3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,88
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,100
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,108
1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,99
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,90
1,1,3,1,1,3,3,3,3,2,3,3,3,1,1,3,3,77
3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,1,92
3,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,93
3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,89
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,102
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,106
1,1,3,3,2,3,3,3,,,,3,,,,,,45
3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,94
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,116
3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,91
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
1,1,3,2,1,3,3,3,3,3,3,3,3,2,3,3,3,81
1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,87
1,1,3,1,1,3,3,3,3,1,3,3,3,1,1,1,3,69
3,1,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,100
3,1,2,3,1,3,3,3,3,1,3,2,3,1,3,3,3,85
2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,84
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,100
3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,106
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,112
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,100
3,3,3,3,1,3,3,1,3,3,3,3,3,2,1,3,3,86
3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,95
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,114
1,1,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,91
3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,94
1,1,3,1,1,3,3,3,3,3,3,3,3,2,3,2,3,85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,102
1,3,3,1,3,1,3,3,3,3,1,3,3,3,2,3,1,86
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
2,1,3,1,1,3,3,3,3,1,3,2,3,1,3,2,3,77
1,3,1,3,3,2,2,1,3,3,1,1,1,2,2,3,1,65
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,97
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,116
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
1,3,3,1,3,1,3,3,2,2,3,3,3,3,1,1,3,73
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,101
3,1,3,2,3,1,2,3,1,2,3,3,1,2,3,3,3,75
2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,103
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,103
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
2,1,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,94
3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,101
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,117
3,1,3,2,1,3,3,2,3,1,2,3,2,1,3,2,2,73
3,3,3,3,3,2,3,2,3,3,2,3,2,3,3,2,3,96
3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,95
3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,108
3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,83
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,111
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,107
1,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,97
3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,97
3,1,2,3,3,2,2,2,3,3,2,2,2,3,3,3,2,88
3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,2,3,97
3,1,3,3,1,3,3,3,3,1,3,3,3,2,3,3,3,100
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
1,1,3,1,2,3,3,3,3,3,3,3,3,1,2,2,3,81
3,1,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107
1,3,3,1,1,1,1,1,1,1,3,3,1,1,1,3,3,58
3,1,3,3,1,3,3,2,3,3,3,3,3,3,3,3,2,88
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,103
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,1,94
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,102
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,93
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
2,1,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,98
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,89
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,109
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,111
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,101
3,1,3,3,2,3,3,3,3,2,3,3,3,2,3,1,3,89
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,103
1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,97
3,3,3,3,3,3,3,2,3,3,3,3,1,3,2,3,3,94
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,103
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
2,1,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,89
3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,90
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,97
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,110
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,96
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
1,1,3,2,3,3,3,3,3,3,3,3,3,3,1,3,2,81
3,1,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,102
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,109
1,1,3,3,1,3,3,3,3,1,3,3,3,3,3,3,2,88
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,111
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,105
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107
3,2,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,89
1,3,3,3,1,1,1,1,3,1,1,3,3,3,3,3,1,68
1,1,3,1,1,3,3,3,3,3,3,3,1,3,3,3,3,90
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,116
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,86
3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,97
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,95
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,116
3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,113
3,1,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,94
3,3,1,3,3,3,3,1,3,3,1,3,1,3,3,3,1,78
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107
2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,97
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,87
3,1,3,2,2,1,3,2,3,3,3,3,1,2,2,3,3,83
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,94
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,114
2,2,3,2,3,1,3,1,3,2,1,3,1,1,2,3,1,70
2,1,3,1,3,3,3,3,2,3,1,3,3,2,3,1,1,75
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,112
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,110
3,3,3,3,3,1,3,2,3,1,3,3,2,2,3,3,3,93
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,103
3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,94
3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,97
3,3,3,3,2,3,3,3,3,2,3,3,3,3,1,3,3,86
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,98
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,96
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,109
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,101
1,1,3,1,1,3,3,3,3,1,3,3,3,1,1,2,2,82
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,117
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
1,2,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,79
1,2,3,2,2,3,3,3,3,1,3,3,3,2,3,2,3,84
3,1,3,2,1,3,3,3,3,3,3,1,3,1,3,3,3,84
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,111
3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,92
3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,106
