"","item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"1","mh_1",11.0727787692651,13,0,0.604720664542096
"2","mh_2",32.6998471253592,16,0.055003041953689,0.00809694149504852
"3","mh_3",16.007126594473,5,0.0798808046611804,0.00682375660215187
"4","mh_4",23.0199055291993,19,0.0247640444837137,0.236466188842657
"5","mh_5",18.5331355058761,17,0.0161679985874875,0.355977938980022
"6","mh_6",18.5142608155678,12,0.0396672780843386,0.100944591141748
"7","mh_7",7.3753658485301,5,0.0371082697024168,0.194186776642057
"8","mh_8",15.7843900090448,15,0.0123114966030819,0.396524221980621
"9","mh_9",9.4831195557701,8,0.0231810732686758,0.303191932907054
"10","mh_10",29.9159118289237,17,0.0469276198560915,0.0269579176166415
"11","mh_11",14.0446289585645,14,0.00303972860850279,0.446391463995383
"12","mh_12",6.94362800311528,4,0.0461851033383427,0.138897384658679
"13","mh_13",26.8869293069526,15,0.0479269357504276,0.0296712261865155
"14","mh_14",17.6895339733892,11,0.0419847954578968,0.0890697520484926
"15","mh_15",12.4459117671147,14,0,0.570539399930538
"16","mh_16",29.3095106602847,16,0.0491033933202056,0.0219307290384634
"17","mh_17",25.3605534596989,15,0.0447441539855638,0.0453058582108209
